stone_name,slug,tier,collection_tier,image_url,previous_name,previous_slug,next_name,next_slug,primary_chakra,secondary_chakras,styling_chakra,property_1,property_2,property_3,hero_pair_1,hero_pair_1_slug,hero_pair_2,hero_pair_2_slug,hero_pair_3,hero_pair_3_slug,similar_1,similar_1_slug,similar_2,similar_2_slug,pairs_well_1,pairs_well_1_slug,pairs_well_2,pairs_well_2_slug,status,notes
Green Aventurine,green-aventurine,1,Essentials,https://vxujlgyhgnihnqrxzefw.supabase.co/storage/v1/object/public/stone-images/encyclopedia/green-aventurine.webp,Green Aragonite,green-aragonite,Green Calcite,green-calcite,Heart,None,Heart,Growth,Optimism,Prosperity,Rose Quartz,rose-quartz,Citrine,citrine,Moonstone,moonstone,Moss Agate,moss-agate,Peridot,peridot,Malachite,malachite,Clear Quartz,clear-quartz,APPROVED,Green Aventurine production data approved by Christie
Citrine,citrine,1,Essentials,https://vxujlgyhgnihnqrxzefw.supabase.co/storage/v1/object/public/stone-images/encyclopedia/citrine.webp,Cinnabrite,cinnabrite,Clear Fluorite,clear-fluorite,Solar Plexus,"Root, Sacral",Solar Plexus,Abundance,Confidence,Motivation,Pyrite,pyrite,Carnelian,carnelian,Clear Quartz,clear-quartz,Sunstone,sunstone,Yellow Aventurine,yellow-aventurine,Green Aventurine,green-aventurine,Tiger's Eye,tigers-eye,READY FOR MD,Tier/chakra/pills confirmed from Supabase. Pairings approved 2026-06-19.
Selenite,selenite,1,Essentials,https://vxujlgyhgnihnqrxzefw.supabase.co/storage/v1/object/public/stone-images/encyclopedia/selenite.webp,Scolecite,scolecite,Septarian,septarian,Crown,Third Eye,Crown,Purification,Clarity,Peace,Clear Quartz,clear-quartz,Amethyst,amethyst,Labradorite,labradorite,Celestite,celestite,Angelite,angelite,Black Tourmaline,black-tourmaline,Rose Quartz,rose-quartz,READY FOR MD,Tier/chakra/pills confirmed from Supabase. Pairings approved 2026-06-19.
Black Tourmaline,black-tourmaline,1,Essentials,https://vxujlgyhgnihnqrxzefw.supabase.co/storage/v1/object/public/stone-images/encyclopedia/black-tourmaline.webp,Black Opal,black-opal,Bloodstone,bloodstone,Earth Star,Root,Earth Star,Protection,Grounding,Boundaries,Smoky Quartz,smoky-quartz,Hematite,hematite,Obsidian,obsidian,Shungite,shungite,Apache Tear,apache-tear,Selenite,selenite,Clear Quartz,clear-quartz,READY FOR MD,Tier/chakra/pills confirmed from Supabase. Pairings approved 2026-06-19.
